network_type,canonical_name,dominant_plotline,plotline_count,episode_count,betweenness_full,weighted_degree_full,betweenness_removed,weighted_degree_removed,betweenness_change,community_full,community_removed,community_shifted,cross_scale_community_shift,betweenness_norm,plotline_norm,bridge_score
coarse,Ned Pointsman,counterforce_science_london,8,20,0.2407945736434108,8.738436241788202,0.17876476377952755,8.808268342477987,-0.06202980986388326,2,2,False,False,1.0,0.8888888888888888,0.7166666666666667
coarse,Weissmann / Blicero,rocket_system_backstory,8,22,0.125968992248062,8.7914189981695,0.16615403543307086,9.11583621011697,0.04018504318500887,3,1,True,False,0.5231388329979879,0.8888888888888888,0.6520791415157613
coarse,Laszlo Jamf,rocket_system_backstory,9,22,0.0316133720930232,6.419904075020352,0.171875,7.477893149164217,0.1402616279069768,4,1,True,True,0.1312877263581487,1.0,0.6090794768611669
coarse,Katje Borgesius,slothrop_london_transition,8,19,0.0432412790697674,6.485541870354791,0.23759432414698162,7.925855746575907,0.1943530450772142,1,4,True,True,0.17957746478873227,0.8888888888888888,0.5974765258215962
coarse,Enzian,schwarzkommando_zone_line,6,23,0.1245155038759689,7.760124836580356,0.2508612204724409,8.764653735827544,0.12634571659647204,3,1,True,False,0.5171026156941647,0.6666666666666666,0.5826961770623741
coarse,Tchitcherine,tchitcherine_zone_line,4,18,0.0499031007751938,6.582165758160771,0.13570374015748032,7.9352337842969245,0.08580063938228652,3,1,True,True,0.20724346076458755,0.4444444444444444,0.47659289067739774
coarse,Gerhardt von Göll,slothrop_zone_quest,8,20,0.0317143087855297,7.443134497704886,0.12087844488188976,8.65387596358231,0.08916413609636006,1,3,True,False,0.1317069081153588,0.8888888888888888,0.4759347753185781
coarse,Leni Pökler,rocket_system_backstory,4,5,0.0295542635658914,1.724391404850419,0.015871062992125984,1.8532679075842449,-0.013683200573765417,4,5,True,True,0.12273641851106612,0.4444444444444444,0.43856472166331306
coarse,Franz Pökler,rocket_system_backstory,5,9,0.0035125968992248,2.450734838862447,0.03801673228346457,3.287415296579333,0.03450413538423977,4,3,True,True,0.014587525150905408,0.5555555555555556,0.4232310529845741
coarse,Krupp,late_zone_afterlives,5,7,0.0,1.7459457879867717,0.0,1.8360629451294375,0.0,3,1,True,True,0.0,0.5555555555555556,0.41666666666666663
coarse,Roger Mexico,counterforce_science_london,5,18,0.1281694121447028,8.336667489772985,0.19865485564304464,8.2743514097047,0.07048544349834185,2,2,False,False,0.5322769953051641,0.5555555555555556,0.4061913145539905
coarse,Pirate Prentice,late_zone_afterlives,7,18,0.0081153100775193,5.681478472816877,0.1031003937007874,6.123265858224126,0.0949850836232681,2,4,True,False,0.03370221327967775,0.7777777777777778,0.3984993293091883
coarse,Marvy,slothrop_zone_quest,4,12,0.0012112403100775,4.585493803316027,0.07800196850393701,5.378069284854682,0.07679072819385951,3,1,True,True,0.005030181086519036,0.4444444444444444,0.3855969148222669
coarse,Geli Tripping,slothrop_zone_quest,4,8,0.0,2.562674379229448,0.015625,3.277194776505903,0.015625,3,1,True,True,0.0,0.4444444444444444,0.3833333333333333
coarse,Osbie Feel,rocket_system_backstory,4,5,0.0,2.176156145089163,0.0011072834645669291,2.3433785404091867,0.0011072834645669291,1,4,True,True,0.0,0.4444444444444444,0.3833333333333333
coarse,Lyle Bland,late_zone_afterlives,3,7,0.0155038759689922,1.8003685735068715,0.017716535433070866,2.155926687970975,0.0022126594640786666,4,1,True,True,0.06438631790744448,0.3333333333333333,0.37897384305835
coarse,Darlene,slothrop_london_transition,3,4,4.037467700258397e-05,1.3856147873423363,0.029773622047244094,1.2693776280208968,0.02973324737024151,1,2,True,True,0.00016767270288397046,0.3333333333333333,0.3500754527162978
coarse,Ludwig,slothrop_zone_quest,3,6,0.0,1.9484788766038763,0.0052903543307086616,2.1693108100759986,0.0052903543307086616,3,1,True,True,0.0,0.3333333333333333,0.35
coarse,Roland,counterforce_science_london,3,4,0.0,1.1700970346131636,0.0007381889763779527,1.6537312617256517,0.0007381889763779527,2,4,True,True,0.0,0.3333333333333333,0.35
coarse,Kurt Mondaugen,rocket_system_backstory,3,5,0.0,1.0233975735013012,0.0,1.1630699183494215,0.0,4,5,True,True,0.0,0.3333333333333333,0.35
coarse,Vaslav,tchitcherine_zone_line,3,3,0.0,1.0041666666666669,0.0,1.282903981264637,0.0,3,1,True,True,0.0,0.3333333333333333,0.35
coarse,Peter Sachsa,slothrop_london_transition,6,8,0.0146963824289405,2.4895551036021475,0.02378608923884514,2.9278039546401726,0.009089706809904641,2,2,False,True,0.06103286384976499,0.6666666666666666,0.32746478873239426
coarse,Ilse Pökler,rocket_system_backstory,2,3,0.0002422480620155,1.1496232257101822,0.004798228346456693,1.452208419599724,0.004555980284441193,4,5,True,True,0.001006036217303807,0.2222222222222222,0.3171193829644534
coarse,Quoad,slothrop_london_transition,2,2,4.037467700258397e-05,1.0270713699753895,0.00012303149606299212,0.9019863236730707,8.265681906040816e-05,1,2,True,True,0.00016767270288397046,0.2222222222222222,0.3167421193829645
coarse,Greta Erdmann,anubis_bad_karma_detour,5,12,0.0,3.209841368228453,0.00012303149606299212,4.245937588703779,0.00012303149606299212,1,3,True,False,0.0,0.5555555555555556,0.31666666666666665
coarse,Andreas Orukambe,schwarzkommando_zone_line,5,8,0.0,2.6517157442631216,0.0,2.872310258671871,0.0,3,1,True,False,0.0,0.5555555555555556,0.31666666666666665
coarse,Max Schlepzig,slothrop_zone_quest,5,11,0.0,2.4334104253118074,0.002091535433070866,3.6832120801526083,0.002091535433070866,1,3,True,False,0.0,0.5555555555555556,0.31666666666666665
coarse,Chiclitz,slothrop_zone_quest,2,3,0.0,1.603422619047619,0.0,1.5379939209726443,0.0,3,1,True,True,0.0,0.2222222222222222,0.31666666666666665
coarse,Sir Marcus Scammony,tchitcherine_zone_line,2,2,0.0,0.9712885154061623,0.0,0.9515151515151515,0.0,3,1,True,True,0.0,0.2222222222222222,0.31666666666666665
coarse,Frans van der Groov,late_zone_afterlives,2,3,0.0,0.7254324622745675,0.0,0.8671328671328672,0.0,1,4,True,True,0.0,0.2222222222222222,0.31666666666666665
coarse,Andre Omnopon,late_zone_afterlives,2,2,0.0,0.7025919573089384,0.0,0.740447504302926,0.0,2,3,True,True,0.0,0.2222222222222222,0.31666666666666665
coarse,Charles,rocket_system_backstory,2,2,0.0,0.6883116883116883,0.0011072834645669291,0.6954545454545454,0.0011072834645669291,3,1,True,True,0.0,0.2222222222222222,0.31666666666666665
coarse,Generaldirektor Smaragd,rocket_system_backstory,2,2,0.0,0.6554394115369725,0.0,0.6353174603174603,0.0,4,5,True,True,0.0,0.2222222222222222,0.31666666666666665
coarse,Steve Edelman,rocket_endgame,2,2,0.0,0.5707070707070707,0.0,0.6241328952172326,0.0,3,1,True,True,0.0,0.2222222222222222,0.31666666666666665
coarse,Sammy Hilbert-Spaess,slothrop_london_transition,2,2,0.0,0.536946386946387,0.0,0.6379761015683346,0.0,2,4,True,True,0.0,0.2222222222222222,0.31666666666666665
coarse,Alfonso Tracy,late_zone_afterlives,2,2,0.0,0.5043041606886657,0.0,0.5969696969696969,0.0,4,1,True,True,0.0,0.2222222222222222,0.31666666666666665
coarse,Seaman Bodine,late_zone_afterlives,4,9,0.015907622739018,4.006063872598963,0.09092027559055119,5.067196533851619,0.07501265285153319,1,3,True,False,0.06606304493628402,0.4444444444444444,0.3130617035546611
coarse,Horst Achtfaden,rocket_system_backstory,4,5,0.0155038759689922,1.532011077158136,0.007997047244094488,1.693654229368515,-0.007506828724897711,3,1,True,False,0.06438631790744448,0.4444444444444444,0.31230717639168337
coarse,Tantivy Mucker-Maffick,slothrop_london_transition,4,9,0.0002422480620155,3.159704309451296,0.057722276902887136,3.670943273082719,0.05748002884087164,1,4,True,False,0.001006036217303807,0.4444444444444444,0.28378604963112003
coarse,Gottfried,rocket_endgame,4,7,0.0,3.2524910847366915,0.0,3.3140193101779873,0.0,3,1,True,False,0.0,0.4444444444444444,0.2833333333333333
coarse,Margherita Erdmann,anubis_bad_karma_detour,4,10,0.0,3.1896050141584533,0.019315944881889764,4.099390161693584,0.019315944881889764,1,3,True,False,0.0,0.4444444444444444,0.2833333333333333
coarse,Blodgett Waxwing,slothrop_london_transition,4,7,0.0,2.1231498911074915,0.016978346456692914,2.9652585866679333,0.016978346456692914,1,4,True,False,0.0,0.4444444444444444,0.2833333333333333
coarse,Hogan,slothrop_london_transition,4,7,0.0,1.1022630865726668,0.0,1.7240408865138197,0.0,1,4,True,False,0.0,0.4444444444444444,0.2833333333333333
coarse,Dzabajev,tchitcherine_zone_line,1,3,0.0,0.8735930735930736,0.0,0.8773809523809524,0.0,3,1,True,True,0.0,0.1111111111111111,0.2833333333333333
coarse,Richard M. Zhlubb,rocket_endgame,1,1,0.0,0.7474747474747475,0.0,0.7710843373493976,0.0,3,1,True,True,0.0,0.1111111111111111,0.2833333333333333
